"Week 5 (2018-08-27 - 2018-09-02)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SOFT152 (T) Practical 1/05","13","Mon","2018-10-22","09:00","Mon","2018-10-22","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 1","13","Mon","2018-10-22","14:00","Mon","2018-10-22","16:00","02:00","Sun, Lingfen","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 1/01","13","Mon","2018-10-22","16:00","Mon","2018-10-22","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) JT Lecture","13","Tue","2018-10-23","09:00","Tue","2018-10-23","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SEC104 (T) JT Practical 1b/03","13","Tue","2018-10-23","16:00","Tue","2018-10-23","18:00","02:00","Clarke, Nathan","SMB 101 (42)","Computing, Electronics and Mathematics","42"
"SOFT152 (T) Practical 1/03","13","Tue","2018-10-23","16:00","Tue","2018-10-23","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Fieldtrip","13","Wed","2018-10-24","09:00","Wed","2018-10-24","17:00","08:00","Atkinson, Shirley, Masala, Giovanni, Papadaki, Maria, Wennekers, Thomas","","Computing, Electronics and Mathematics","190"
"SEC104 (T) JT Practical 1b/04","13","Thu","2018-10-25","09:00","Thu","2018-10-25","11:00","02:00","Clarke, Nathan","SMB 101 (42)","Computing, Electronics and Mathematics","42"
"SOFT152 (T) Practical 2/01","13","Thu","2018-10-25","09:00","Thu","2018-10-25","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","13","Thu","2018-10-25","13:00","Thu","2018-10-25","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Practical 1b/02","13","Thu","2018-10-25","14:00","Thu","2018-10-25","16:00","02:00","Clarke, Nathan","SMB 101 (42)","Computing, Electronics and Mathematics","42"
"SOFT152 (T) Practical 2/02","13","Thu","2018-10-25","15:00","Thu","2018-10-25","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","13","Thu","2018-10-25","16:00","Thu","2018-10-25","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","13","Fri","2018-10-26","09:00","Fri","2018-10-26","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/03","13","Fri","2018-10-26","15:00","Fri","2018-10-26","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 14 (2018-10-29 - 2018-11-04)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SEC104 (T) JT Practical 1a/02","14","Mon","2018-10-29","09:00","Mon","2018-10-29","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/05","14","Mon","2018-10-29","09:00","Mon","2018-10-29","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 5/02","14","Mon","2018-10-29","11:00","Mon","2018-10-29","13:00","02:00","Wennekers, Thomas","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/01","14","Mon","2018-10-29","16:00","Mon","2018-10-29","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) JT Lecture","14","Tue","2018-10-30","09:00","Tue","2018-10-30","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Practical 3/03","14","Tue","2018-10-30","14:00","Tue","2018-10-30","16:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Practical 1a/03","14","Tue","2018-10-30","16:00","Tue","2018-10-30","18:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/03","14","Tue","2018-10-30","16:00","Tue","2018-10-30","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 5/03","14","Wed","2018-10-31","09:00","Wed","2018-10-31","11:00","02:00","Wennekers, Thomas","BGB 207 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Practical 3/02","14","Wed","2018-10-31","11:00","Wed","2018-10-31","13:00","02:00","Palomino, Marco","BGB 208 (36)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Practical 1a/04","14","Thu","2018-11-01","09:00","Thu","2018-11-01","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 2/01","14","Thu","2018-11-01","09:00","Thu","2018-11-01","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","14","Thu","2018-11-01","13:00","Thu","2018-11-01","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","14","Thu","2018-11-01","15:00","Thu","2018-11-01","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","14","Thu","2018-11-01","16:00","Thu","2018-11-01","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/04","14","Fri","2018-11-02","09:00","Fri","2018-11-02","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2a","14","Fri","2018-11-02","13:00","Fri","2018-11-02","15:00","02:00","Furnell, Steven","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 2/03","14","Fri","2018-11-02","15:00","Fri","2018-11-02","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"

"Week 15 (2018-11-05 - 2018-11-11)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SOFT152 (T) Practical 1/05","15","Mon","2018-11-05","09:00","Mon","2018-11-05","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Workshop/01","15","Mon","2018-11-05","11:00","Mon","2018-11-05","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Lecture 1","15","Mon","2018-11-05","14:00","Mon","2018-11-05","16:00","02:00","Sun, Lingfen","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
"SOFT152 (T) Practical 1/01","15","Mon","2018-11-05","16:00","Mon","2018-11-05","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 6/03","15","Mon","2018-11-05","16:00","Mon","2018-11-05","18:00","02:00","Atkinson, Shirley","BGB 209 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) JT Lecture","15","Tue","2018-11-06","09:00","Tue","2018-11-06","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Workshop/02","15","Tue","2018-11-06","11:00","Tue","2018-11-06","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT165 (T) Practical 6/04","15","Tue","2018-11-06","14:00","Tue","2018-11-06","16:00","02:00","Atkinson, Shirley","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) Practical 1/03","15","Tue","2018-11-06","16:00","Tue","2018-11-06","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 6/01","15","Wed","2018-11-07","09:00","Wed","2018-11-07","11:00","02:00","Atkinson, Shirley","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Workshop/03","15","Wed","2018-11-07","11:00","Wed","2018-11-07","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT152 (T) Practical 2/01","15","Thu","2018-11-08","09:00","Thu","2018-11-08","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","15","Thu","2018-11-08","13:00","Thu","2018-11-08","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","15","Thu","2018-11-08","15:00","Thu","2018-11-08","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","15","Thu","2018-11-08","16:00","Thu","2018-11-08","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Workshop/04","15","Thu","2018-11-08","16:00","Thu","2018-11-08","18:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT152 (T) Practical 2/04","15","Fri","2018-11-09","09:00","Fri","2018-11-09","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Assessment 1/02","15","Fri","2018-11-09","12:00","Fri","2018-11-09","13:00","01:00","Furnell, Steven","SMB 101 (42)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 2/03","15","Fri","2018-11-09","15:00","Fri","2018-11-09","17:00","02:00","Pecyna, Leszek","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 6/02","15","Fri","2018-11-09","15:00","Fri","2018-11-09","17:00","02:00","Atkinson, Shirley","BGB 207 (36)","Computing, Electronics and Mathematics","36"

"Week 16 (2018-11-12 - 2018-11-18)"
"Name","Start week","Start day","Start date","Start time","End day","End date","End time","Duration","Staff member(s)","Location(s)","Department","Size"
"SEC104 (T) JT Practical 1a/02","16","Mon","2018-11-12","09:00","Mon","2018-11-12","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/05","16","Mon","2018-11-12","09:00","Mon","2018-11-12","11:00","02:00","Pecyna, Leszek","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Workshop/01","16","Mon","2018-11-12","11:00","Mon","2018-11-12","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT152 (T) Practical 1/01","16","Mon","2018-11-12","16:00","Mon","2018-11-12","18:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 6/03","16","Mon","2018-11-12","16:00","Mon","2018-11-12","18:00","02:00","Atkinson, Shirley","BGB 209 (36)","Computing, Electronics and Mathematics","36"
"SOFT152 (T) JT Lecture","16","Tue","2018-11-13","09:00","Tue","2018-11-13","11:00","02:00","Stuart, Liz","RLB LT1 (279)","Computing, Electronics and Mathematics","250"
"SOFT165 (T) Workshop/02","16","Tue","2018-11-13","11:00","Tue","2018-11-13","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT165 (T) Practical 6/04","16","Tue","2018-11-13","14:00","Tue","2018-11-13","16:00","02:00","Atkinson, Shirley","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SEC104 (T) JT Practical 1a/03","16","Tue","2018-11-13","16:00","Tue","2018-11-13","18:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 1/03","16","Tue","2018-11-13","16:00","Tue","2018-11-13","18:00","02:00","Haynes, Chris","BGB 209 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Practical 6/01","16","Wed","2018-11-14","09:00","Wed","2018-11-14","11:00","02:00","Atkinson, Shirley","BGB 208 (36)","Computing, Electronics and Mathematics","36"
"SOFT165 (T) Workshop/03","16","Wed","2018-11-14","11:00","Wed","2018-11-14","13:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SEC104 (T) JT Practical 1a/04","16","Thu","2018-11-15","09:00","Thu","2018-11-15","11:00","02:00","Giorgi, Ioanna","SMB 306 (40)","Computing, Electronics and Mathematics","40"
"SOFT152 (T) Practical 2/01","16","Thu","2018-11-15","09:00","Thu","2018-11-15","11:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/05","16","Thu","2018-11-15","13:00","Thu","2018-11-15","15:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 2/02","16","Thu","2018-11-15","15:00","Thu","2018-11-15","17:00","02:00","Stuart, Liz","BGB 208 (36)","Computing, Electronics and Mathematics","28"
"SOFT152 (T) Practical 1/04","16","Thu","2018-11-15","16:00","Thu","2018-11-15","18:00","02:00","Haynes, Chris","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SOFT165 (T) Workshop/04","16","Thu","2018-11-15","16:00","Thu","2018-11-15","18:00","02:00","Atkinson, Shirley","SMB 109 (30)","Computing, Electronics and Mathematics","30"
"SOFT152 (T) Practical 2/04","16","Fri","2018-11-16","09:00","Fri","2018-11-16","11:00","02:00","Pecyna, Leszek","BGB 207 (36)","Computing, Electronics and Mathematics","28"
"SEC104 (T) JT Lecture 2b","16","Fri","2018-11-16","13:00","Fri","2018-11-16","15:00","02:00","Clarke, Nathan","DYB Main Hall (212)","Computing, Electronics and Mathematics","212"
